Land class,type,Description,Fuel class
156,0,Cleared,1
327,0,Cleared,1
344,0,Cleared,1
501,0,Cleared,1
560,0,Cleared,1
642,0,Cleared,1
1038,0,Cleared,1
158,1,Subtropical Rainforests,5
328,1,Subtropical Rainforests,5
502,1,Subtropical Rainforests,5
536,1,Subtropical Rainforests,5
555,1,Subtropical Rainforests,5
561,1,Subtropical Rainforests,5
598,1,Subtropical Rainforests,5
503,2,Northern Warm Temperate Rainforests,5
537,2,Northern Warm Temperate Rainforests,5
556,2,Northern Warm Temperate Rainforests,5
562,2,Northern Warm Temperate Rainforests,5
538,3,Cool Temperate Rainforests,5
557,3,Cool Temperate Rainforests,5
539,4,Dry Rainforests,5
558,4,Dry Rainforests,5
564,4,Dry Rainforests,5
329,5,Littoral Rainforests,5
504,5,Littoral Rainforests,5
559,5,Littoral Rainforests,5
1040,5,Littoral Rainforests,5
330,6,North Coast Wet Sclerophyll Forests,4
345,6,North Coast Wet Sclerophyll Forests,4
505,6,North Coast Wet Sclerophyll Forests,4
540,6,North Coast Wet Sclerophyll Forests,4
566,6,North Coast Wet Sclerophyll Forests,4
599,6,North Coast Wet Sclerophyll Forests,4
647,6,North Coast Wet Sclerophyll Forests,4
1041,6,North Coast Wet Sclerophyll Forests,4
346,8,Northern Escarpment Wet Sclerophyll Forests,4
541,8,Northern Escarpment Wet Sclerophyll Forests,4
567,8,Northern Escarpment Wet Sclerophyll Forests,4
600,8,Northern Escarpment Wet Sclerophyll Forests,4
542,10,Northern Tableland Wet Sclerophyll Forests,4
568,10,Northern Tableland Wet Sclerophyll Forests,4
601,10,Northern Tableland Wet Sclerophyll Forests,4
331,19,Coastal Dune Dry Sclerophyll Forests,3
506,19,Coastal Dune Dry Sclerophyll Forests,3
570,19,Coastal Dune Dry Sclerophyll Forests,3
603,19,Coastal Dune Dry Sclerophyll Forests,3
656,19,Coastal Dune Dry Sclerophyll Forests,3
1042,19,Coastal Dune Dry Sclerophyll Forests,3
332,20,North Coast Dry Sclerophyll Forests,3
333,21,Northern Hinterland Wet Sclerophyll Forests,4
347,21,Northern Hinterland Wet Sclerophyll Forests,4
507,21,Northern Hinterland Wet Sclerophyll Forests,4
543,21,Northern Hinterland Wet Sclerophyll Forests,4
572,21,Northern Hinterland Wet Sclerophyll Forests,4
605,21,Northern Hinterland Wet Sclerophyll Forests,4
657,21,Northern Hinterland Wet Sclerophyll Forests,4
1044,21,Northern Hinterland Wet Sclerophyll Forests,4
573,25,Northern Escarpment Dry Sclerophyll Forests,3
574,27,Northern Tableland Dry Sclerophyll Forests,3
334,31,Wallum Sand Heaths,7
576,31,Wallum Sand Heaths,7
1045,31,Wallum Sand Heaths,7
544,33,Northern Montane Heaths,7
610,40,Tableland Clay Grassy Woodlands,2
159,48,Coastal Swamp Forests,6
335,48,Coastal Swamp Forests,6
508,48,Coastal Swamp Forests,6
581,48,Coastal Swamp Forests,6
1046,48,Coastal Swamp Forests,6
160,50,Coastal Floodplain Forests,6
509,50,Coastal Floodplain Forests,6
582,50,Coastal Floodplain Forests,6
614,50,Coastal Floodplain Forests,6
675,50,Coastal Floodplain Forests,6
348,51,Eastern Riverine Forests,3
583,51,Eastern Riverine Forests,3
510,54,Coastal Heath Swamps,7
584,54,Coastal Heath Swamps,7
1048,54,Coastal Heath Swamps,7
336,55,Montane Bogs and Fens,10
161,56,Coastal Freshwater Lagoons and Floodplain Meadows,11
337,56,Coastal Freshwater Lagoons and Floodplain Meadows,11
1049,56,Coastal Freshwater Lagoons and Floodplain Meadows,11
211,58,Mangrove Swamps,11
338,58,Mangrove Swamps,11
586,58,Mangrove Swamps,11
681,58,Mangrove Swamps,11
588,66,Northern Gorge Dry Sclerophyll Forests,3
618,66,Northern Gorge Dry Sclerophyll Forests,3
326,69,Hunter-Macleay Dry Sclerophyll Forests,3
339,69,Hunter-Macleay Dry Sclerophyll Forests,3
349,69,Hunter-Macleay Dry Sclerophyll Forests,3
511,69,Hunter-Macleay Dry Sclerophyll Forests,3
591,69,Hunter-Macleay Dry Sclerophyll Forests,3
340,70,Coastal Headland and Foredune Scrubs,7
1052,70,Coastal Headland and Foredune Scrubs,7
212,71,Saltmarshes,11
341,71,Saltmarshes,11
512,71,Saltmarshes,11
691,71,Saltmarshes,11
1053,71,Saltmarshes,11
342,72,Coastal Valley Grassy Woodlands,2
350,72,Coastal Valley Grassy Woodlands,2
513,72,Coastal Valley Grassy Woodlands,2
594,72,Coastal Valley Grassy Woodlands,2
213,112,Seagrass Meadows,11
514,112,Seagrass Meadows,11
711,112,Seagrass Meadows,11
515,116,Maritime Grasslands,1
596,116,Maritime Grasslands,1
1054,116,Maritime Grasslands,1
597,120,Temperate Swamp Forests,6
343,126,Floodplain-Estuarine Transition Forests,6
351,126,Floodplain-Estuarine Transition Forests,6
